user_id,last_purchase_date,frequency,monetary,avg_order_value,total_sessions,avg_session_depth,avg_products_viewed,cart_abandon_rate,conversion_rate,recency,cluster,segment
1,2019-06-06 07:57:01+00:00,1,63.99,63.9900016784668,1,5.0,1.0,0.0,1.0,2520,2,Khách hàng Vãng lai
3,2021-08-27 15:13:22+00:00,3,458.13,152.71000162760416,1,5.0,1.0,0.0,1.0,1707,0,Khách hàng VIP
4,2021-06-18 12:57:58+00:00,1,67.99,67.98999786376953,4,13.0,4.0,0.0,0.25,1777,3,Khách hàng Tiềm năng
5,2021-10-11 10:04:14+00:00,3,93.99,31.329999287923176,2,7.0,2.0,0.0,1.0,1662,2,Khách hàng Vãng lai
8,2021-10-15 11:03:42+00:00,1,49.95,49.95000076293945,2,5.0,1.0,0.0,0.5,1658,1,Khách hàng Ngủ đông
9,2021-02-27 01:41:46+00:00,1,34.95,34.95000076293945,1,5.0,1.0,0.0,1.0,1888,2,Khách hàng Vãng lai
10,2022-06-05 00:09:11+00:00,2,87.76,43.880001068115234,2,5.0,1.0,0.0,1.0,1425,2,Khách hàng Vãng lai
13,2019-04-25 09:58:47+00:00,1,137.0,137.0,1,5.0,1.0,0.0,1.0,2562,2,Khách hàng Vãng lai
17,2022-05-25 07:17:07+00:00,1,14.5,14.5,1,5.0,1.0,0.0,1.0,1436,2,Khách hàng Vãng lai
18,2021-04-28 03:36:54+00:00,1,74.0,74.0,3,10.0,3.0,0.0,0.3333333333333333,1828,3,Khách hàng Tiềm năng
20,2021-06-30 00:58:17+00:00,1,72.0,72.0,1,5.0,1.0,0.0,1.0,1765,2,Khách hàng Vãng lai
26,2021-04-15 03:27:04+00:00,1,54.0,54.0,3,6.333333333333333,1.6666666666666667,0.0,0.3333333333333333,1841,1,Khách hàng Ngủ đông
27,2022-05-03 07:19:28+00:00,1,39.24,39.2400016784668,2,5.0,1.0,0.0,0.5,1458,1,Khách hàng Ngủ đông
28,2021-10-06 11:13:02+00:00,1,42.980003,42.980003356933594,5,8.0,2.2,0.0,0.2,1667,3,Khách hàng Tiềm năng
29,2021-09-27 04:45:02+00:00,1,98.0,98.0,1,5.0,1.0,0.0,1.0,1676,2,Khách hàng Vãng lai
30,2021-10-08 09:02:36+00:00,1,62.0,62.0,2,7.0,2.0,0.0,0.5,1665,1,Khách hàng Ngủ đông
32,2022-05-29 02:34:08+00:00,1,47.99,47.9900016784668,1,5.0,1.0,0.0,1.0,1432,2,Khách hàng Vãng lai
33,2022-06-01 00:45:13+00:00,1,39.99,39.9900016784668,6,8.166666666666666,2.3333333333333335,0.0,0.16666666666666666,1429,3,Khách hàng Tiềm năng
35,2021-07-02 14:57:51+00:00,1,9.66,9.65999984741211,1,5.0,1.0,0.0,1.0,1763,2,Khách hàng Vãng lai
36,2021-03-09 07:49:16+00:00,1,43.989998,43.98999786376953,1,5.0,1.0,0.0,1.0,1878,2,Khách hàng Vãng lai
37,2021-05-16 07:00:00+00:00,1,35.99,35.9900016784668,2,5.0,1.0,0.0,0.5,1810,1,Khách hàng Ngủ đông
39,2022-03-22 01:36:50+00:00,1,74.99,74.98999786376953,2,7.0,2.0,0.0,0.5,1500,1,Khách hàng Ngủ đông
40,2021-12-13 12:48:34+00:00,1,39.95,39.95000076293945,3,6.333333333333333,1.6666666666666667,0.0,0.3333333333333333,1599,1,Khách hàng Ngủ đông
41,2022-04-09 03:39:10+00:00,1,179.95,179.9499969482422,1,5.0,1.0,0.0,1.0,1482,2,Khách hàng Vãng lai
45,2020-12-15 15:03:58+00:00,2,108.45,54.224998474121094,2,7.0,2.0,0.0,1.0,1962,2,Khách hàng Vãng lai
46,2021-07-25 09:32:58+00:00,4,574.33997,143.58499145507812,3,6.333333333333333,1.6666666666666667,0.0,1.0,1740,0,Khách hàng VIP
47,2019-08-16 12:41:48+00:00,1,54.95,54.95000076293945,1,5.0,1.0,0.0,1.0,2449,2,Khách hàng Vãng lai
48,2022-02-04 14:58:34+00:00,2,26.93,13.46500015258789,2,7.0,2.0,0.0,1.0,1546,2,Khách hàng Vãng lai
49,2020-10-22 05:31:36+00:00,1,114.990005,114.99000549316406,1,5.0,1.0,0.0,1.0,2016,2,Khách hàng Vãng lai
50,2020-12-22 11:16:24+00:00,1,12.99,12.989999771118164,1,5.0,1.0,0.0,1.0,1955,2,Khách hàng Vãng lai
52,2022-01-16 01:07:53+00:00,1,268.99,268.989990234375,2,5.0,1.0,0.0,0.5,1565,0,Khách hàng VIP
53,2022-03-06 04:52:25+00:00,1,25.0,25.0,5,11.4,3.4,0.0,0.2,1516,3,Khách hàng Tiềm năng
54,2020-07-25 01:11:49+00:00,1,74.0,74.0,1,5.0,1.0,0.0,1.0,2105,2,Khách hàng Vãng lai
55,2022-05-22 15:37:14+00:00,1,25.0,25.0,7,9.571428571428571,2.7142857142857144,0.0,0.14285714285714285,1439,3,Khách hàng Tiềm năng
57,2020-11-18 16:39:48+00:00,2,612.9,306.45001220703125,2,7.0,2.0,0.0,1.0,1989,0,Khách hàng VIP
58,2022-06-09 03:15:25.329487+00:00,2,102.63,51.314998626708984,2,7.0,2.0,0.0,1.0,1421,2,Khách hàng Vãng lai
59,2021-07-11 00:21:59+00:00,1,235.0,235.0,4,7.0,2.0,0.0,0.25,1754,1,Khách hàng Ngủ đông
62,2022-03-15 09:58:33+00:00,2,93.0,46.5,1,5.0,1.0,0.0,1.0,1507,2,Khách hàng Vãng lai
63,2020-08-31 01:27:55+00:00,2,31.98,15.989999771118164,1,5.0,1.0,0.0,1.0,2068,2,Khách hàng Vãng lai
64,2022-04-19 03:18:48+00:00,1,109.99,109.98999786376953,1,5.0,1.0,0.0,1.0,1472,2,Khách hàng Vãng lai
65,2021-02-07 01:44:17+00:00,1,21.99,21.989999771118164,4,13.0,4.0,0.0,0.25,1908,3,Khách hàng Tiềm năng
68,2022-06-06 17:58:14+00:00,1,28.69,28.690000534057617,1,5.0,1.0,0.0,1.0,1423,2,Khách hàng Vãng lai
73,2021-12-01 02:39:40+00:00,2,1130.72,565.3599853515625,1,5.0,1.0,0.0,1.0,1611,0,Khách hàng VIP
75,2022-01-06 06:46:29+00:00,1,242.48001,242.48001098632812,4,5.0,1.0,0.0,0.25,1575,1,Khách hàng Ngủ đông
77,2022-06-06 10:05:53+00:00,1,34.0,34.0,7,9.571428571428571,2.7142857142857144,0.0,0.14285714285714285,1424,3,Khách hàng Tiềm năng
78,2021-02-18 14:21:47+00:00,1,42.99,42.9900016784668,2,5.0,1.0,0.0,0.5,1897,1,Khách hàng Ngủ đông
79,2022-05-15 08:03:41+00:00,3,230.09001,76.69667053222656,3,5.0,1.0,0.0,1.0,1446,0,Khách hàng VIP
81,2021-10-25 01:16:53+00:00,1,32.98,32.97999954223633,2,7.0,2.0,0.0,0.5,1648,1,Khách hàng Ngủ đông
82,2020-11-17 00:11:23+00:00,2,141.7,70.8499984741211,2,5.0,1.0,0.0,1.0,1990,2,Khách hàng Vãng lai
83,2020-10-21 15:09:54+00:00,2,85.590004,42.79500198364258,1,5.0,1.0,0.0,1.0,2017,2,Khách hàng Vãng lai
85,2022-03-25 11:14:29+00:00,1,69.350006,69.35000610351562,1,5.0,1.0,0.0,1.0,1497,2,Khách hàng Vãng lai
86,2021-04-12 23:48:54+00:00,1,39.23,39.22999954223633,4,13.0,4.0,0.0,0.25,1843,3,Khách hàng Tiềm năng
88,2021-09-30 02:36:45+00:00,1,42.16,42.15999984741211,1,5.0,1.0,0.0,1.0,1673,2,Khách hàng Vãng lai
89,2020-09-03 01:02:11+00:00,1,109.99,109.98999786376953,1,5.0,1.0,0.0,1.0,2065,2,Khách hàng Vãng lai
90,2022-03-07 02:12:43+00:00,1,15.0,15.0,2,5.0,1.0,0.0,0.5,1515,1,Khách hàng Ngủ đông
91,2022-03-27 12:49:34+00:00,1,277.05,277.04998779296875,2,7.0,2.0,0.0,0.5,1495,0,Khách hàng VIP
93,2022-04-20 13:30:29+00:00,3,147.59,49.19666544596354,2,7.0,2.0,0.0,1.0,1471,0,Khách hàng VIP
95,2021-10-29 13:49:52+00:00,2,60.989998,30.494998931884766,3,6.333333333333333,1.6666666666666667,0.0,0.6666666666666666,1644,1,Khách hàng Ngủ đông
96,2020-11-14 09:59:36+00:00,1,24.03,24.030000686645508,3,6.333333333333333,1.6666666666666667,0.0,0.3333333333333333,1993,1,Khách hàng Ngủ đông
97,2022-03-31 10:01:41+00:00,1,89.5,89.5,1,5.0,1.0,0.0,1.0,1491,2,Khách hàng Vãng lai
99,2021-03-15 15:44:40+00:00,1,73.99,73.98999786376953,2,5.0,1.0,0.0,0.5,1872,1,Khách hàng Ngủ đông
101,2021-10-28 15:17:37+00:00,1,21.9,21.899999618530273,3,6.333333333333333,1.6666666666666667,0.0,0.3333333333333333,1645,1,Khách hàng Ngủ đông
102,2021-03-10 03:00:31+00:00,2,172.99,86.49500274658203,7,11.714285714285714,3.5714285714285716,0.0,0.2857142857142857,1877,3,Khách hàng Tiềm năng
103,2022-06-06 08:55:21.291868+00:00,2,171.57,85.78500366210938,1,5.0,1.0,0.0,1.0,1424,2,Khách hàng Vãng lai
105,2022-05-14 15:52:29+00:00,2,279.38,139.69000244140625,2,5.0,1.0,0.0,1.0,1447,0,Khách hàng VIP
107,2022-03-29 11:37:53+00:00,3,49.72,16.573333740234375,6,6.333333333333333,1.6666666666666667,0.0,0.5,1493,1,Khách hàng Ngủ đông
108,2021-12-15 03:55:39+00:00,1,79.0,79.0,2,7.0,2.0,0.0,0.5,1597,1,Khách hàng Ngủ đông
109,2021-12-12 09:54:15+00:00,2,116.75,58.375,3,5.0,1.0,0.0,0.6666666666666666,1600,1,Khách hàng Ngủ đông
111,2022-03-24 12:49:17+00:00,2,194.28,97.13999938964844,3,6.333333333333333,1.6666666666666667,0.0,0.6666666666666666,1498,1,Khách hàng Ngủ đông
113,2020-09-09 08:54:15+00:00,1,80.0,80.0,2,5.0,1.0,0.0,0.5,2059,1,Khách hàng Ngủ đông
114,2021-02-17 02:45:10+00:00,1,25.0,25.0,1,5.0,1.0,0.0,1.0,1898,2,Khách hàng Vãng lai
115,2022-05-18 01:53:53+00:00,4,972.63995,243.1599884033203,1,5.0,1.0,0.0,1.0,1443,0,Khách hàng VIP
116,2022-03-05 10:57:29+00:00,3,115.9,38.63333384195963,3,10.0,3.0,0.0,1.0,1517,3,Khách hàng Tiềm năng
117,2022-01-10 16:09:43+00:00,1,79.0,79.0,4,13.0,4.0,0.0,0.25,1571,3,Khách hàng Tiềm năng
118,2022-01-23 13:08:40+00:00,1,72.0,72.0,1,5.0,1.0,0.0,1.0,1558,2,Khách hàng Vãng lai
120,2022-03-26 07:02:42+00:00,2,136.97,68.48500061035156,1,5.0,1.0,0.0,1.0,1496,2,Khách hàng Vãng lai
121,2021-12-30 06:03:08+00:00,1,115.08,115.08000183105469,2,5.0,1.0,0.0,0.5,1582,1,Khách hàng Ngủ đông
122,2022-06-06 01:09:47.699514+00:00,1,9.5,9.5,1,5.0,1.0,0.0,1.0,1424,2,Khách hàng Vãng lai
123,2021-06-13 13:53:16+00:00,2,157.95999,78.97999572753906,2,7.0,2.0,0.0,1.0,1782,2,Khách hàng Vãng lai
